Scheme Name,Eligibility,Benefits,Age,Income,State/Coverage,Category,Application,Official Source
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),"Landholding farmer families meeting scheme conditions; institutional landholders, income-tax payers and specified higher-economic-status categories are excluded.","₹6,000 per year in 3 equal instalments through DBT.",No fixed age limit stated,No fixed income ceiling; income-tax payers are excluded.,All India,Farmers / Agriculture,Online farmer registration on PM-KISAN portal; State/UT verification and eKYC.,https://pmkisan.gov.in/
Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY),Eligible poor/vulnerable households identified under scheme criteria; eligibility includes specified rural deprivation and urban occupational categories.,Cashless hospitalisation cover up to ₹5 lakh per family per year.,No fixed age limit,No single income ceiling; eligibility is based mainly on deprivation/occupational criteria.,All India,Health / Low-income & vulnerable households,Check eligibility through PM-JAY/myScheme and use an empanelled hospital.,https://www.myscheme.gov.in/hi/schemes/ab-pmjay
Pradhan Mantri Awas Yojana – Urban (PMAY-U 2.0),Urban households in EWS/LIG/MIG categories meeting housing and other conditions; family must not own a pucca house.,Housing assistance/subsidy depending on component; central assistance can reach ₹2.50 lakh/unit in specified cases and home-loan subsidy up to ₹1.80 lakh under ISS.,No fixed age limit stated,EWS up to ₹3 lakh; LIG ₹3–6 lakh; MIG-I ₹6–12 lakh; MIG-II ₹12–18 lakh annual household income.,Eligible urban towns/cities across India,Housing / EWS-LIG-MIG,Online registration through PMAY-U 2.0 portal followed by eligibility check and beneficiary survey.,https://www.myscheme.gov.in/schemes/pmay-u
Pradhan Mantri Awas Yojana – Gramin (PMAY-G),Eligible rural houseless households and households living in kutcha/dilapidated houses identified through the scheme's deprivation and exclusion criteria.,"₹1.20 lakh unit assistance in plain areas and ₹1.30 lakh in North-East/hill areas, with basic amenities.",No fixed age limit stated,"Household exclusion checks include earning above ₹15,000/month and other economic criteria.",Rural areas across India,Housing / Rural poor,"Identification through SECC/Awaas+ processes, Gram Sabha/state verification and scheme portal processes.",https://www.pmayg.gov.in/
Pradhan Mantri Ujjwala Yojana (PMUY),Adult woman aged 18+ from an eligible poor household; no other LPG connection should exist in the household.,Deposit-free LPG connection support and related connection benefits under PMUY.,18+ years,Poor-household/deprivation criteria; no single universal income threshold stated on the official PMUY eligibility page.,All India,Women / Clean cooking fuel / Poor households,Apply through an LPG distributor or PMUY online application route with required documents.,https://www.pmuy.gov.in/
Pradhan Mantri Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),Street vendors eligible under the scheme/ULB or survey/LoR requirements.,"Collateral-free working-capital loans up to ₹15,000, ₹25,000 and ₹50,000 in progressive tranches; interest subsidy and digital incentives.",Typically 18+ for lending,No fixed income ceiling stated.,"Urban, census-town and eligible peri-urban areas across India",Street vendors / Livelihood,"Apply through PM SVANidhi portal, participating banks/ULBs/authorized channels.",https://www.pmindia.gov.in/en/news_updates/cabinet-approves-restructuring-extension-of-lending-period-beyond-31-12-2024-of-pm-svanidhi-scheme/
Pradhan Mantri Vishwakarma,Artisans/craftspeople working with hands and tools in one of 18 specified traditional trades; registration/verification through the scheme process.,"Certificate/ID, skill training with stipend, toolkit incentive up to ₹15,000, collateral-free credit up to ₹1 lakh and ₹2 lakh at concessional interest, plus digital/marketing support.",18+ years,No fixed income ceiling stated.,All India,Artisans / Craftspeople / MSME livelihood,Registration through Common Service Centres using the PM Vishwakarma portal and biometric verification.,https://pmvishwakarma.gov.in/
Pradhan Mantri MUDRA Yojana (PMMY),Micro enterprises needing institutional credit for eligible non-farm and allied activities; lending subject to participating lender rules.,"Collateral-free micro-enterprise credit: Shishu up to ₹50,000; Kishore ₹50,000–₹5 lakh; Tarun ₹5–₹10 lakh; Tarun Plus above ₹10 lakh up to ₹20 lakh for eligible repeat borrowers.",No fixed age limit stated,No universal income ceiling stated.,All India,Micro-enterprises / Entrepreneurs,"Apply through participating banks, NBFCs, MFIs and other Member Lending Institutions.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy
Atal Pension Yojana (APY),Indian citizen with savings bank/post-office savings account meeting APY conditions.,"Guaranteed minimum pension of ₹1,000–₹5,000 per month from age 60, depending on contribution; spouse and nominee benefits also apply.",18–40 years at entry,No fixed income ceiling; current tax-payer restrictions apply to new subscribers under prevailing rules.,All India,Pension / Unorganised-sector workers,Enroll through participating bank/post office using APY enrolment process.,https://financialservices.gov.in/atal-pension-yojana
Pradhan Mantri Suraksha Bima Yojana (PMSBY),Individual account holder of a participating bank/post office.,Accidental death/total disability cover ₹2 lakh; specified partial disability ₹1 lakh; premium ₹20/year.,18–70 years,No income ceiling stated.,All India,Accident insurance / Financial security,Enroll through participating bank/post office with consent for auto-debit.,https://financialservices.gov.in/pmsby
