Scheme Name,Eligibility,Benefits,Age,Income,State/Coverage,Category,Application,Official Source
pradhan mantri kisan samman nidhi (pm-kisan),"landholding farmer families meeting scheme conditions institutional landholders, income-tax payers and specified higher-economic-status categories are excluded.","₹6,000 per year in 3 equal instalments through dbt.",no fixed age limit stated,no fixed income ceiling income-tax payers are excluded.,all india,farmers / agriculture,online farmer registration on pm-kisan portal state/ut verification and ekyc.,https://pmkisan.gov.in/
ayushman bharat pradhan mantri jan arogya yojana (pm-jay),eligible poor/vulnerable households identified under scheme criteria eligibility includes specified rural deprivation and urban occupational categories.,cashless hospitalisation cover up to ₹5 lakh per family per year.,no fixed age limit,no single income ceiling eligibility is based mainly on deprivation/occupational criteria.,all india,health / low-income & vulnerable households,check eligibility through pm-jay/myscheme and use an empanelled hospital.,https://www.myscheme.gov.in/hi/schemes/ab-pmjay
pradhan mantri awas yojana urban (pmay-u 2.0),urban households in ews/lig/mig categories meeting housing and other conditions family must not own a pucca house.,housing assistance/subsidy depending on component central assistance can reach ₹2.50 lakh/unit in specified cases and home-loan subsidy up to ₹1.80 lakh under iss.,no fixed age limit stated,ews up to ₹3 lakh lig ₹3 6 lakh mig-i ₹6 12 lakh mig-ii ₹12 18 lakh annual household income.,eligible urban towns/cities across india,housing / ews-lig-mig,online registration through pmay-u 2.0 portal followed by eligibility check and beneficiary survey.,https://www.myscheme.gov.in/schemes/pmay-u
pradhan mantri awas yojana gramin (pmay-g),eligible rural houseless households and households living in kutcha/dilapidated houses identified through the scheme s deprivation and exclusion criteria.,"₹1.20 lakh unit assistance in plain areas and ₹1.30 lakh in north-east/hill areas, with basic amenities.",no fixed age limit stated,"household exclusion checks include earning above ₹15,000/month and other economic criteria.",rural areas across india,housing / rural poor,"identification through secc/awaas+ processes, gram sabha/state verification and scheme portal processes.",https://www.pmayg.gov.in/
pradhan mantri ujjwala yojana (pmuy),adult woman aged 18+ from an eligible poor household no other lpg connection should exist in the household.,deposit-free lpg connection support and related connection benefits under pmuy.,18+ years,poor-household/deprivation criteria no single universal income threshold stated on the official pmuy eligibility page.,all india,women / clean cooking fuel / poor households,apply through an lpg distributor or pmuy online application route with required documents.,https://www.pmuy.gov.in/
pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),street vendors eligible under the scheme/ulb or survey/lor requirements.,"collateral-free working-capital loans up to ₹15,000, ₹25,000 and ₹50,000 in progressive tranches interest subsidy and digital incentives.",typically 18+ for lending,no fixed income ceiling stated.,"urban, census-town and eligible peri-urban areas across india",street vendors / livelihood,"apply through pm svanidhi portal, participating banks/ulbs/authorized channels.",https://www.pmindia.gov.in/en/news_updates/cabinet-approves-restructuring-extension-of-lending-period-beyond-31-12-2024-of-pm-svanidhi-scheme/
pradhan mantri vishwakarma,artisans/craftspeople working with hands and tools in one of 18 specified traditional trades registration/verification through the scheme process.,"certificate/id, skill training with stipend, toolkit incentive up to ₹15,000, collateral-free credit up to ₹1 lakh and ₹2 lakh at concessional interest, plus digital/marketing support.",18+ years,no fixed income ceiling stated.,all india,artisans / craftspeople / msme livelihood,registration through common service centres using the pm vishwakarma portal and biometric verification.,https://pmvishwakarma.gov.in/
pradhan mantri mudra yojana (pmmy),micro enterprises needing institutional credit for eligible non-farm and allied activities lending subject to participating lender rules.,"collateral-free micro-enterprise credit: shishu up to ₹50,000 kishore ₹50,000 ₹5 lakh tarun ₹5 ₹10 lakh tarun plus above ₹10 lakh up to ₹20 lakh for eligible repeat borrowers.",no fixed age limit stated,no universal income ceiling stated.,all india,micro-enterprises / entrepreneurs,"apply through participating banks, nbfcs, mfis and other member lending institutions.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy
atal pension yojana (apy),indian citizen with savings bank/post-office savings account meeting apy conditions.,"guaranteed minimum pension of ₹1,000 ₹5,000 per month from age 60, depending on contribution spouse and nominee benefits also apply.",18 40 years at entry,no fixed income ceiling current tax-payer restrictions apply to new subscribers under prevailing rules.,all india,pension / unorganised-sector workers,enroll through participating bank/post office using apy enrolment process.,https://financialservices.gov.in/atal-pension-yojana
pradhan mantri suraksha bima yojana (pmsby),individual account holder of a participating bank/post office.,accidental death/total disability cover ₹2 lakh specified partial disability ₹1 lakh premium ₹20/year.,18 70 years,no income ceiling stated.,all india,accident insurance / financial security,enroll through participating bank/post office with consent for auto-debit.,https://financialservices.gov.in/pmsby
