chunk_id,scheme,section,text
1_1,pradhan mantri kisan samman nidhi (pm-kisan),eligibility,"Scheme: pradhan mantri kisan samman nidhi (pm-kisan). Eligibility: landholding farmer families meeting scheme conditions institutional landholders, income-tax payers and specified higher-economic-status categories are excluded."
1_2,pradhan mantri kisan samman nidhi (pm-kisan),benefits,"Scheme: pradhan mantri kisan samman nidhi (pm-kisan). Benefits: ₹6,000 per year in 3 equal instalments through dbt."
1_3,pradhan mantri kisan samman nidhi (pm-kisan),age_income,Scheme: pradhan mantri kisan samman nidhi (pm-kisan). Age requirement: no fixed age limit stated. Income requirement: no fixed income ceiling income-tax payers are excluded.
1_4,pradhan mantri kisan samman nidhi (pm-kisan),coverage_category,Scheme: pradhan mantri kisan samman nidhi (pm-kisan). State or coverage: all india. Category: farmers / agriculture
1_5,pradhan mantri kisan samman nidhi (pm-kisan),application,Scheme: pradhan mantri kisan samman nidhi (pm-kisan). Application process: online farmer registration on pm-kisan portal state/ut verification and ekyc.
2_1,ayushman bharat pradhan mantri jan arogya yojana (pm-jay),eligibility,Scheme: ayushman bharat pradhan mantri jan arogya yojana (pm-jay). Eligibility: eligible poor/vulnerable households identified under scheme criteria eligibility includes specified rural deprivation and urban occupational categories.
2_2,ayushman bharat pradhan mantri jan arogya yojana (pm-jay),benefits,Scheme: ayushman bharat pradhan mantri jan arogya yojana (pm-jay). Benefits: cashless hospitalisation cover up to ₹5 lakh per family per year.
2_3,ayushman bharat pradhan mantri jan arogya yojana (pm-jay),age_income,Scheme: ayushman bharat pradhan mantri jan arogya yojana (pm-jay). Age requirement: no fixed age limit. Income requirement: no single income ceiling eligibility is based mainly on deprivation/occupational criteria.
2_4,ayushman bharat pradhan mantri jan arogya yojana (pm-jay),coverage_category,Scheme: ayushman bharat pradhan mantri jan arogya yojana (pm-jay). State or coverage: all india. Category: health / low-income & vulnerable households
2_5,ayushman bharat pradhan mantri jan arogya yojana (pm-jay),application,Scheme: ayushman bharat pradhan mantri jan arogya yojana (pm-jay). Application process: check eligibility through pm-jay/myscheme and use an empanelled hospital.
3_1,pradhan mantri awas yojana urban (pmay-u 2.0),eligibility,Scheme: pradhan mantri awas yojana urban (pmay-u 2.0). Eligibility: urban households in ews/lig/mig categories meeting housing and other conditions family must not own a pucca house.
3_2,pradhan mantri awas yojana urban (pmay-u 2.0),benefits,Scheme: pradhan mantri awas yojana urban (pmay-u 2.0). Benefits: housing assistance/subsidy depending on component central assistance can reach ₹2.50 lakh/unit in specified cases and home-loan subsidy up to ₹1.80 lakh under iss.
3_3,pradhan mantri awas yojana urban (pmay-u 2.0),age_income,Scheme: pradhan mantri awas yojana urban (pmay-u 2.0). Age requirement: no fixed age limit stated. Income requirement: ews up to ₹3 lakh lig ₹3 6 lakh mig-i ₹6 12 lakh mig-ii ₹12 18 lakh annual household income.
3_4,pradhan mantri awas yojana urban (pmay-u 2.0),coverage_category,Scheme: pradhan mantri awas yojana urban (pmay-u 2.0). State or coverage: eligible urban towns/cities across india. Category: housing / ews-lig-mig
3_5,pradhan mantri awas yojana urban (pmay-u 2.0),application,Scheme: pradhan mantri awas yojana urban (pmay-u 2.0). Application process: online registration through pmay-u 2.0 portal followed by eligibility check and beneficiary survey.
4_1,pradhan mantri awas yojana gramin (pmay-g),eligibility,Scheme: pradhan mantri awas yojana gramin (pmay-g). Eligibility: eligible rural houseless households and households living in kutcha/dilapidated houses identified through the scheme s deprivation and exclusion criteria.
4_2,pradhan mantri awas yojana gramin (pmay-g),benefits,"Scheme: pradhan mantri awas yojana gramin (pmay-g). Benefits: ₹1.20 lakh unit assistance in plain areas and ₹1.30 lakh in north-east/hill areas, with basic amenities."
4_3,pradhan mantri awas yojana gramin (pmay-g),age_income,"Scheme: pradhan mantri awas yojana gramin (pmay-g). Age requirement: no fixed age limit stated. Income requirement: household exclusion checks include earning above ₹15,000/month and other economic criteria."
4_4,pradhan mantri awas yojana gramin (pmay-g),coverage_category,Scheme: pradhan mantri awas yojana gramin (pmay-g). State or coverage: rural areas across india. Category: housing / rural poor
4_5,pradhan mantri awas yojana gramin (pmay-g),application,"Scheme: pradhan mantri awas yojana gramin (pmay-g). Application process: identification through secc/awaas+ processes, gram sabha/state verification and scheme portal processes."
5_1,pradhan mantri ujjwala yojana (pmuy),eligibility,Scheme: pradhan mantri ujjwala yojana (pmuy). Eligibility: adult woman aged 18+ from an eligible poor household no other lpg connection should exist in the household.
5_2,pradhan mantri ujjwala yojana (pmuy),benefits,Scheme: pradhan mantri ujjwala yojana (pmuy). Benefits: deposit-free lpg connection support and related connection benefits under pmuy.
5_3,pradhan mantri ujjwala yojana (pmuy),age_income,Scheme: pradhan mantri ujjwala yojana (pmuy). Age requirement: 18+ years. Income requirement: poor-household/deprivation criteria no single universal income threshold stated on the official pmuy eligibility page.
5_4,pradhan mantri ujjwala yojana (pmuy),coverage_category,Scheme: pradhan mantri ujjwala yojana (pmuy). State or coverage: all india. Category: women / clean cooking fuel / poor households
5_5,pradhan mantri ujjwala yojana (pmuy),application,Scheme: pradhan mantri ujjwala yojana (pmuy). Application process: apply through an lpg distributor or pmuy online application route with required documents.
6_1,pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),eligibility,Scheme: pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi). Eligibility: street vendors eligible under the scheme/ulb or survey/lor requirements.
6_2,pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),benefits,"Scheme: pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi). Benefits: collateral-free working-capital loans up to ₹15,000, ₹25,000 and ₹50,000 in progressive tranches interest subsidy and digital incentives."
6_3,pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),age_income,Scheme: pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi). Age requirement: typically 18+ for lending. Income requirement: no fixed income ceiling stated.
6_4,pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),coverage_category,"Scheme: pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi). State or coverage: urban, census-town and eligible peri-urban areas across india. Category: street vendors / livelihood"
6_5,pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi),application,"Scheme: pradhan mantri street vendor s atmanirbhar nidhi (pm svanidhi). Application process: apply through pm svanidhi portal, participating banks/ulbs/authorized channels."
7_1,pradhan mantri vishwakarma,eligibility,Scheme: pradhan mantri vishwakarma. Eligibility: artisans/craftspeople working with hands and tools in one of 18 specified traditional trades registration/verification through the scheme process.
7_2,pradhan mantri vishwakarma,benefits,"Scheme: pradhan mantri vishwakarma. Benefits: certificate/id, skill training with stipend, toolkit incentive up to ₹15,000, collateral-free credit up to ₹1 lakh and ₹2 lakh at concessional interest, plus digital/marketing support."
7_3,pradhan mantri vishwakarma,age_income,Scheme: pradhan mantri vishwakarma. Age requirement: 18+ years. Income requirement: no fixed income ceiling stated.
7_4,pradhan mantri vishwakarma,coverage_category,Scheme: pradhan mantri vishwakarma. State or coverage: all india. Category: artisans / craftspeople / msme livelihood
7_5,pradhan mantri vishwakarma,application,Scheme: pradhan mantri vishwakarma. Application process: registration through common service centres using the pm vishwakarma portal and biometric verification.
8_1,pradhan mantri mudra yojana (pmmy),eligibility,Scheme: pradhan mantri mudra yojana (pmmy). Eligibility: micro enterprises needing institutional credit for eligible non-farm and allied activities lending subject to participating lender rules.
8_2,pradhan mantri mudra yojana (pmmy),benefits,"Scheme: pradhan mantri mudra yojana (pmmy). Benefits: collateral-free micro-enterprise credit: shishu up to ₹50,000 kishore ₹50,000 ₹5 lakh tarun ₹5 ₹10 lakh tarun plus above ₹10 lakh up to ₹20 lakh for eligible repeat borrowers."
8_3,pradhan mantri mudra yojana (pmmy),age_income,Scheme: pradhan mantri mudra yojana (pmmy). Age requirement: no fixed age limit stated. Income requirement: no universal income ceiling stated.
8_4,pradhan mantri mudra yojana (pmmy),coverage_category,Scheme: pradhan mantri mudra yojana (pmmy). State or coverage: all india. Category: micro-enterprises / entrepreneurs
8_5,pradhan mantri mudra yojana (pmmy),application,"Scheme: pradhan mantri mudra yojana (pmmy). Application process: apply through participating banks, nbfcs, mfis and other member lending institutions."
9_1,atal pension yojana (apy),eligibility,Scheme: atal pension yojana (apy). Eligibility: indian citizen with savings bank/post-office savings account meeting apy conditions.
9_2,atal pension yojana (apy),benefits,"Scheme: atal pension yojana (apy). Benefits: guaranteed minimum pension of ₹1,000 ₹5,000 per month from age 60, depending on contribution spouse and nominee benefits also apply."
9_3,atal pension yojana (apy),age_income,Scheme: atal pension yojana (apy). Age requirement: 18 40 years at entry. Income requirement: no fixed income ceiling current tax-payer restrictions apply to new subscribers under prevailing rules.
9_4,atal pension yojana (apy),coverage_category,Scheme: atal pension yojana (apy). State or coverage: all india. Category: pension / unorganised-sector workers
9_5,atal pension yojana (apy),application,Scheme: atal pension yojana (apy). Application process: enroll through participating bank/post office using apy enrolment process.
10_1,pradhan mantri suraksha bima yojana (pmsby),eligibility,Scheme: pradhan mantri suraksha bima yojana (pmsby). Eligibility: individual account holder of a participating bank/post office.
10_2,pradhan mantri suraksha bima yojana (pmsby),benefits,Scheme: pradhan mantri suraksha bima yojana (pmsby). Benefits: accidental death/total disability cover ₹2 lakh specified partial disability ₹1 lakh premium ₹20/year.
